"proteinType","proteinSearched","todaysDate"
"HSD17B3","testosterone","Tue Aug 18 06:46:21 2020"
"GNRH1","testosterone","Tue Aug 18 06:46:21 2020"
"CYP19A1","testosterone","Tue Aug 18 06:46:21 2020"
"SHBG","testosterone","Tue Aug 18 06:46:21 2020"
"GNRHR","testosterone","Tue Aug 18 06:46:21 2020"
"AR","testosterone","Tue Aug 18 06:46:21 2020"
"LEP","testosterone","Tue Aug 18 06:46:21 2020"
"NR5A1","testosterone","Tue Aug 18 06:46:21 2020"
"FGFR1","testosterone","Tue Aug 18 06:46:21 2020"
"KISS1","testosterone","Tue Aug 18 06:46:21 2020"
"FSHB","testosterone","Tue Aug 18 06:46:21 2020"
"SRD5A1","testosterone","Tue Aug 18 06:46:21 2020"
"CYP3A4","testosterone","Tue Aug 18 06:46:21 2020"
"NR0B1","testosterone","Tue Aug 18 06:46:21 2020"
"LHCGR","testosterone","Tue Aug 18 06:46:21 2020"
"SRY","testosterone","Tue Aug 18 06:46:21 2020"
"ANOS1","testosterone","Tue Aug 18 06:46:21 2020"
"NSMF","testosterone","Tue Aug 18 06:46:21 2020"
"PROKR2","testosterone","Tue Aug 18 06:46:21 2020"
"FGF8","testosterone","Tue Aug 18 06:46:21 2020"
"SRD5A2","testosterone","Tue Aug 18 06:46:21 2020"
"LEPR","testosterone","Tue Aug 18 06:46:21 2020"
"CYP17A1","testosterone","Tue Aug 18 06:46:21 2020"
"INS","testosterone","Tue Aug 18 06:46:21 2020"
"KISS1R","testosterone","Tue Aug 18 06:46:21 2020"
