"proteinType","proteinSearched","todaysDate"
"TP53","serous-fluid","Fri Aug 07 08:03:05 2020"
"TNF","serous-fluid","Fri Aug 07 08:03:05 2020"
"IL10","serous-fluid","Fri Aug 07 08:03:05 2020"
"BRCA1","serous-fluid","Fri Aug 07 08:03:05 2020"
"IL1B","serous-fluid","Fri Aug 07 08:03:05 2020"
"PIK3CA","serous-fluid","Fri Aug 07 08:03:05 2020"
"BRCA2","serous-fluid","Fri Aug 07 08:03:05 2020"
"KRAS","serous-fluid","Fri Aug 07 08:03:05 2020"
"IFNG","serous-fluid","Fri Aug 07 08:03:05 2020"
"ERBB2","serous-fluid","Fri Aug 07 08:03:05 2020"
"PTEN","serous-fluid","Fri Aug 07 08:03:05 2020"
"IL6","serous-fluid","Fri Aug 07 08:03:05 2020"
"CCL2","serous-fluid","Fri Aug 07 08:03:05 2020"
"AKT1","serous-fluid","Fri Aug 07 08:03:05 2020"
"CTNNB1","serous-fluid","Fri Aug 07 08:03:05 2020"
"BRAF","serous-fluid","Fri Aug 07 08:03:05 2020"
"MUC1","serous-fluid","Fri Aug 07 08:03:05 2020"
"CDH1","serous-fluid","Fri Aug 07 08:03:05 2020"
"APOE","serous-fluid","Fri Aug 07 08:03:05 2020"
"HRAS","serous-fluid","Fri Aug 07 08:03:05 2020"
"VEGFA","serous-fluid","Fri Aug 07 08:03:05 2020"
"CFH","serous-fluid","Fri Aug 07 08:03:05 2020"
"NRAS","serous-fluid","Fri Aug 07 08:03:05 2020"
"AFP","serous-fluid","Fri Aug 07 08:03:05 2020"
"CXCL8","serous-fluid","Fri Aug 07 08:03:05 2020"
