"proteinType","proteinSearched","todaysDate"
"MMAA","vitamin-b12","Tue Aug 18 06:46:22 2020"
"MMAB","vitamin-b12","Tue Aug 18 06:46:22 2020"
"MTR","vitamin-b12","Tue Aug 18 06:46:22 2020"
"CUBN","vitamin-b12","Tue Aug 18 06:46:22 2020"
"VDR","vitamin-b12","Tue Aug 18 06:46:22 2020"
"MMUT","vitamin-b12","Tue Aug 18 06:46:22 2020"
"CBLIF","vitamin-b12","Tue Aug 18 06:46:22 2020"
"TCN2","vitamin-b12","Tue Aug 18 06:46:22 2020"
"MMACHC","vitamin-b12","Tue Aug 18 06:46:22 2020"
"MTRR","vitamin-b12","Tue Aug 18 06:46:22 2020"
"MTHFR","vitamin-b12","Tue Aug 18 06:46:22 2020"
"MMADHC","vitamin-b12","Tue Aug 18 06:46:22 2020"
"AMN","vitamin-b12","Tue Aug 18 06:46:22 2020"
"LMBRD1","vitamin-b12","Tue Aug 18 06:46:22 2020"
"TCN1","vitamin-b12","Tue Aug 18 06:46:22 2020"
"FUT2","vitamin-b12","Tue Aug 18 06:46:22 2020"
"PTH","vitamin-b12","Tue Aug 18 06:46:22 2020"
"MCEE","vitamin-b12","Tue Aug 18 06:46:22 2020"
"ALB","vitamin-b12","Tue Aug 18 06:46:22 2020"
"ABCD4","vitamin-b12","Tue Aug 18 06:46:22 2020"
"MVK","vitamin-b12","Tue Aug 18 06:46:22 2020"
"FGF23","vitamin-b12","Tue Aug 18 06:46:22 2020"
"TNF","vitamin-b12","Tue Aug 18 06:46:22 2020"
"TTR","vitamin-b12","Tue Aug 18 06:46:22 2020"
"MTHFD1","vitamin-b12","Tue Aug 18 06:46:22 2020"
