"proteinType","proteinSearched","todaysDate"
"VDR","vitamin-c","Tue Aug 18 06:46:18 2020"
"PROC","vitamin-c","Tue Aug 18 06:46:18 2020"
"TNF","vitamin-c","Tue Aug 18 06:46:18 2020"
"IL6","vitamin-c","Tue Aug 18 06:46:18 2020"
"F5","vitamin-c","Tue Aug 18 06:46:18 2020"
"F2","vitamin-c","Tue Aug 18 06:46:18 2020"
"GGCX","vitamin-c","Tue Aug 18 06:46:18 2020"
"MTHFR","vitamin-c","Tue Aug 18 06:46:18 2020"
"VKORC1","vitamin-c","Tue Aug 18 06:46:18 2020"
"CYP27B1","vitamin-c","Tue Aug 18 06:46:18 2020"
"TTPA","vitamin-c","Tue Aug 18 06:46:18 2020"
"PHEX","vitamin-c","Tue Aug 18 06:46:18 2020"
"PTH","vitamin-c","Tue Aug 18 06:46:18 2020"
"CRP","vitamin-c","Tue Aug 18 06:46:18 2020"
"IFNG","vitamin-c","Tue Aug 18 06:46:18 2020"
"ALB","vitamin-c","Tue Aug 18 06:46:18 2020"
"FGF23","vitamin-c","Tue Aug 18 06:46:18 2020"
"MTR","vitamin-c","Tue Aug 18 06:46:18 2020"
"FAS","vitamin-c","Tue Aug 18 06:46:18 2020"
"APOE","vitamin-c","Tue Aug 18 06:46:18 2020"
"IGF1","vitamin-c","Tue Aug 18 06:46:18 2020"
"TTR","vitamin-c","Tue Aug 18 06:46:18 2020"
"EGFR","vitamin-c","Tue Aug 18 06:46:18 2020"
"INS","vitamin-c","Tue Aug 18 06:46:18 2020"
"TP53","vitamin-c","Tue Aug 18 06:46:18 2020"
